Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,HasChild,Children,Age,TotalAmtSpent,Relation
UGrad,Married,78497.0,44,207,26,447,75,0,223,no child,0,70,978,95.0
PGrad,Married,50150.0,32,135,46,92,65,61,11,no child,0,38,410,100.46666666666667
UGrad,Single,47823.0,0,53,1,5,2,1,10,child,1,61,72,99.36666666666666
PGrad,Single,34554.0,43,41,1,6,2,0,5,child,1,62,55,91.03333333333333
Grad,Married,85693.0,59,386,172,183,185,132,111,child,1,42,1169,102.5
PGrad,Married,65846.0,68,562,81,276,80,40,81,no child,0,76,1120,101.6
Grad,Married,87195.0,35,217,76,690,50,26,38,no child,0,62,1097,89.73333333333333
UGrad,Married,24594.0,94,1,3,6,10,0,9,child,1,42,29,94.7
Grad,Married,49096.0,15,144,1,32,2,1,7,child,2,57,187,97.26666666666667
Grad,Married,52413.0,56,295,106,271,75,98,65,child,2,52,910,105.06666666666666
Grad,Single,38557.0,17,76,3,31,4,4,27,child,1,43,145,106.56666666666666
PGrad,Married,89058.0,18,454,194,106,31,22,43,no child,0,61,850,106.96666666666667
Grad,Married,77298.0,46,425,115,292,23,35,79,child,1,42,969,95.96666666666667
PGrad,Single,68126.0,40,1332,17,311,23,51,86,no child,0,30,1820,107.86666666666666
PGrad,Married,57288.0,27,527,0,21,0,0,60,child,1,58,608,88.13333333333334
Grad,Single,86037.0,95,490,44,125,29,20,22,no child,0,30,730,106.1
PGrad,Married,43974.0,19,378,0,101,0,0,72,child,1,41,551,106.8
Grad,Single,50785.0,27,64,1,21,0,1,27,child,2,59,114,97.73333333333333
Grad,Married,90765.0,25,547,99,812,151,82,33,no child,0,51,1724,93.2
UGrad,Married,36550.0,74,47,90,94,123,103,120,child,1,43,577,104.5
UGrad,Married,30753.0,85,12,5,25,0,9,30,child,2,54,81,99.76666666666667
Grad,Married,21918.0,37,1,6,7,11,5,3,child,1,52,33,95.56666666666666
PGrad,Married,56129.0,65,320,48,133,39,72,48,child,1,68,660,100.46666666666667
PGrad,Single,32557.0,13,34,3,29,0,4,10,child,1,54,80,92.16666666666667
PGrad,Married,19510.0,63,9,0,7,3,4,7,child,2,36,30,97.93333333333334
Grad,Single,30992.0,83,17,0,14,7,3,2,child,1,45,43,102.43333333333334
Grad,Single,101970.0,69,722,27,102,44,72,168,no child,0,38,1135,103.8
UGrad,Married,71488.0,87,162,33,124,40,28,172,no child,0,56,559,104.53333333333333
Grad,Single,79607.0,37,450,133,951,173,0,216,no child,0,37,1923,102.46666666666667
PGrad,Married,54348.0,51,70,0,16,0,0,4,child,2,68,90,88.7
PGrad,Married,77376.0,72,492,19,110,16,12,12,child,2,65,661,89.66666666666667
Grad,Married,62998.0,10,120,58,73,65,89,58,child,1,69,463,97.06666666666666
PGrad,Single,61331.0,42,534,5,47,0,5,41,child,2,63,632,103.86666666666666
Grad,Married,73448.0,10,236,106,189,23,41,130,no child,0,52,725,92.63333333333334
PGrad,Married,41551.0,51,220,0,33,3,0,23,child,2,57,279,98.63333333333334
PGrad,Married,62981.0,21,796,14,590,38,44,0,no child,0,54,1482,103.63333333333334
UGrad,Single,9548.0,31,0,1,3,10,6,9,child,1,45,29,111.0
PGrad,Married,33762.0,61,53,1,34,2,0,16,child,3,62,106,99.9
PGrad,Single,35860.0,37,15,0,8,4,2,20,child,2,48,49,89.36666666666666
PGrad,Single,36921.0,74,17,1,12,3,1,4,child,2,56,38,99.2
PGrad,Single,92859.0,46,962,61,921,52,61,20,no child,0,29,2077,108.6
PGrad,Married,65104.0,4,738,0,232,13,20,50,child,1,45,1053,95.56666666666666
Grad,Married,86111.0,73,399,28,756,36,40,126,no child,0,59,1385,102.53333333333333
PGrad,Single,68352.0,47,614,16,132,43,33,33,child,1,47,871,98.16666666666667
Grad,Married,41883.0,13,32,34,41,73,16,116,child,1,33,312,103.56666666666666
Grad,Married,59809.0,36,598,16,141,32,41,49,child,2,45,877,108.63333333333334
Grad,Married,23957.0,47,2,1,18,20,11,16,child,1,46,68,108.3
Grad,Married,38547.0,49,6,1,10,0,1,4,child,1,40,22,98.16666666666667
UGrad,Married,35688.0,94,73,3,90,12,1,32,child,3,48,211,110.53333333333333
PGrad,Married,49605.0,65,42,16,29,12,20,8,no child,0,55,127,88.26666666666667
PGrad,Married,59354.0,59,295,21,78,39,13,13,child,2,68,459,90.2
Grad,Married,65747.0,96,346,17,48,23,13,13,child,1,52,460,91.8
UGrad,Married,46344.0,28,233,20,57,8,20,91,child,1,49,429,106.73333333333333
Grad,Single,34176.0,12,5,7,24,19,14,20,child,1,33,89,89.6
PGrad,Married,61010.0,57,888,0,57,0,0,76,child,1,69,1021,108.93333333333334
Grad,Married,69372.0,10,997,26,269,34,13,42,no child,0,72,1381,104.5
Grad,Single,49967.0,4,212,6,69,4,12,3,child,1,63,306,99.86666666666666
Grad,Single,60199.0,49,8,1,7,2,0,0,child,3,43,18,97.66666666666667
Grad,Married,55375.0,3,42,11,57,10,28,14,child,1,44,162,96.5
Grad,Single,80317.0,64,536,11,387,149,91,57,no child,0,66,1231,98.43333333333334
PGrad,Single,30523.0,0,5,0,3,0,0,5,child,3,63,13,100.1
PGrad,Married,70356.0,20,1349,16,249,43,16,33,no child,0,76,1706,108.03333333333333
Grad,Married,23228.0,91,53,3,49,7,4,5,child,1,37,121,93.83333333333333
PGrad,Single,74165.0,9,1001,12,240,16,12,12,no child,0,46,1293,102.13333333333334
Grad,Married,43482.0,83,18,1,32,6,3,28,child,3,55,88,95.6
Grad,Single,62551.0,27,125,16,98,134,21,27,no child,0,68,421,95.43333333333334
Grad,Single,52332.0,63,212,5,33,7,0,2,no child,0,62,259,98.16666666666667
Grad,Single,66951.0,46,277,162,305,173,76,124,no child,0,33,1117,95.96666666666667
Grad,Married,26091.0,84,15,10,19,8,17,20,child,2,64,89,92.13333333333334
Grad,Married,33456.0,58,7,3,10,8,1,7,child,2,56,36,90.3
Grad,Married,28718.0,78,12,4,6,11,8,16,child,1,39,57,99.7
Grad,Married,50447.0,4,85,7,24,2,3,27,child,2,51,148,90.3
PGrad,Married,53537.0,17,81,0,6,0,0,6,child,2,62,93,93.0
Grad,Single,52074.0,77,59,0,12,0,0,48,child,1,54,119,90.86666666666666
PGrad,Married,80427.0,56,1149,71,449,69,71,26,child,1,46,1835,109.83333333333333
PGrad,Married,83837.0,79,847,66,119,86,89,111,no child,0,73,1318,106.66666666666667
PGrad,Married,38853.0,90,29,0,14,0,0,2,child,2,51,45,89.23333333333333
Grad,Married,38285.0,96,2,0,5,2,0,1,child,3,62,10,88.16666666666667
UGrad,Married,78497.0,44,207,26,447,75,0,223,no child,0,70,978,95.0
PGrad,Married,51650.0,81,152,3,22,2,5,7,child,1,45,191,89.63333333333334
UGrad,Married,16248.0,77,12,11,10,3,12,9,child,1,33,57,89.66666666666667
PGrad,Married,66835.0,21,620,26,195,34,17,141,no child,0,75,1033,97.13333333333334
PGrad,Married,30477.0,16,47,1,6,0,0,12,child,1,37,66,93.26666666666667
UGrad,Married,28249.0,80,1,9,7,2,14,10,no child,0,60,43,88.46666666666667
Grad,Married,25271.0,45,10,1,18,10,4,7,child,1,38,50,107.03333333333333
PGrad,Single,32303.0,63,35,0,2,0,0,2,child,1,51,39,91.76666666666667
Grad,Married,61286.0,34,356,0,107,19,9,117,child,1,55,608,99.03333333333333
Grad,Married,74068.0,14,783,30,537,140,76,15,no child,0,45,1581,103.56666666666666
PGrad,Married,45759.0,13,42,1,18,3,0,4,child,2,57,68,104.36666666666666
UGrad,Married,24882.0,52,1,4,10,29,0,36,child,1,43,80,109.93333333333334
PGrad,Married,66973.0,98,466,22,432,147,113,102,no child,0,32,1282,101.6
Grad,Married,38872.0,93,23,3,21,3,19,22,child,1,33,91,101.16666666666667
Grad,Married,51148.0,38,235,6,45,8,9,12,child,2,48,315,104.53333333333333
Grad,Married,31353.0,24,10,0,10,3,1,7,child,2,44,31,94.06666666666666
PGrad,Married,69661.0,80,656,16,106,32,16,8,no child,0,41,834,89.56666666666666
Grad,Married,80067.0,82,519,17,813,27,173,51,no child,0,67,1600,97.43333333333334
Grad,Married,86718.0,20,344,189,482,50,33,172,no child,0,67,1270,105.6
PGrad,Single,46854.0,81,96,1,79,7,1,79,child,2,48,263,91.0
Grad,Single,69142.0,50,448,4,34,6,4,39,child,1,69,535,88.0
Grad,Single,75922.0,60,265,138,553,224,23,92,no child,0,53,1295,94.73333333333333
Grad,Single,63693.0,63,587,43,337,42,87,54,child,1,43,1150,96.6
PGrad,Married,102160.0,54,763,29,138,76,176,58,no child,0,44,1240,108.13333333333334
PGrad,Single,40637.0,72,22,0,13,0,0,3,child,2,56,38,99.56666666666666
PGrad,Single,18890.0,5,6,4,1,7,2,15,no child,0,37,35,107.86666666666666
Grad,Married,29604.0,88,7,6,13,7,6,14,child,1,33,53,94.76666666666667
PGrad,Single,48721.0,50,81,18,113,47,13,21,child,2,58,293,101.73333333333333
Grad,Married,44794.0,99,54,0,7,0,0,4,child,1,55,65,88.7
Grad,Single,64497.0,17,1170,48,320,42,32,192,child,1,67,1804,109.9
Grad,Married,46097.0,11,72,24,68,65,4,8,child,1,65,241,103.16666666666667
Grad,Married,77972.0,18,613,22,319,33,102,12,no child,0,67,1101,91.43333333333334
PGrad,Married,44377.0,70,224,0,30,0,0,10,child,2,53,264,109.06666666666666
PGrad,Married,46014.0,21,410,0,59,19,9,44,child,2,47,541,105.46666666666667
Grad,Married,70951.0,66,239,10,554,254,87,54,no child,0,36,1198,102.03333333333333
Grad,Married,41443.0,79,171,7,171,25,19,89,child,1,44,482,90.96666666666667
UGrad,Single,52195.0,2,12,0,4,0,0,1,child,3,43,17,89.6
PGrad,Married,83790.0,81,1076,16,417,42,48,16,no child,0,73,1615,95.53333333333333
PGrad,Single,44551.0,24,182,4,33,0,0,66,child,1,67,285,98.06666666666666
Grad,Married,69508.0,48,824,32,162,42,32,43,child,1,41,1135,107.73333333333333
UGrad,Married,45204.0,93,30,11,25,29,1,18,child,1,33,114,90.63333333333334
Grad,Married,72460.0,56,377,10,540,80,30,10,no child,0,52,1047,95.56666666666666
PGrad,Married,77622.0,3,520,7,154,19,0,14,child,2,51,714,90.53333333333333
PGrad,Married,30732.0,44,155,1,25,0,1,3,child,1,41,185,106.0
Grad,Single,63887.0,38,897,23,207,15,11,92,child,1,59,1245,109.96666666666667
Grad,Married,42011.0,46,131,0,16,2,1,39,child,1,43,189,103.33333333333333
Grad,Married,51369.0,84,297,7,79,0,11,182,child,1,45,576,108.4
Grad,Single,51537.0,27,787,20,204,0,0,92,child,1,69,1103,106.9
PGrad,Married,79930.0,72,792,86,740,67,51,17,no child,0,49,1753,111.0
PGrad,Married,34320.0,66,4,1,9,3,0,0,child,1,35,17,92.43333333333334
Grad,Single,37070.0,30,231,7,137,4,15,39,child,2,55,433,103.53333333333333
UGrad,Single,81975.0,2,983,76,184,180,138,27,child,1,59,1588,106.0
Grad,Married,38590.0,65,3,1,8,4,3,3,child,1,50,22,101.66666666666667
Grad,Single,15033.0,37,0,4,5,6,0,4,no child,0,70,19,90.46666666666667
PGrad,Married,62745.0,89,562,21,464,28,10,32,child,1,56,1117,103.43333333333334
UGrad,Married,22212.0,49,5,9,20,6,8,21,child,1,46,69,94.73333333333333
PGrad,Married,23661.0,46,18,0,4,0,0,1,child,1,39,23,94.9
PGrad,Single,79761.0,32,415,5,124,15,35,11,child,1,63,605,96.93333333333334
Grad,Single,7500.0,54,5,3,10,12,7,20,child,1,48,57,94.16666666666667
Grad,Single,73455.0,98,901,61,757,186,163,20,no child,0,53,2088,96.13333333333334
Grad,Married,64961.0,97,382,114,276,75,124,38,child,1,63,1009,106.43333333333334
Grad,Single,22804.0,75,14,1,7,2,1,1,child,1,50,26,99.1
Grad,Married,73687.0,8,559,153,503,218,13,181,no child,0,31,1627,95.1
Grad,Married,61074.0,37,789,0,133,0,28,152,child,1,63,1102,110.7
PGrad,Married,31686.0,31,11,0,5,0,0,1,child,2,57,17,88.8
Grad,Married,80134.0,40,1218,16,272,104,0,80,child,1,49,1690,101.5
Grad,Married,75027.0,74,925,64,179,133,12,77,child,1,68,1390,105.86666666666666
PGrad,Married,67546.0,90,864,134,768,150,38,172,no child,0,33,2126,110.23333333333333
PGrad,Married,65176.0,57,960,28,183,220,70,70,child,1,52,1531,108.26666666666667
PGrad,Single,31160.0,59,16,3,25,6,1,13,child,1,46,64,97.53333333333333
Grad,Single,29938.0,52,3,3,7,0,2,11,child,1,36,26,96.16666666666667
Grad,Single,102692.0,5,168,148,444,32,172,148,no child,0,47,1112,103.0
UGrad,Married,26490.0,92,45,47,52,21,20,25,no child,0,63,210,109.5
Grad,Married,75702.0,77,650,28,353,45,42,30,child,2,54,1148,110.3
PGrad,Single,30899.0,35,24,0,8,0,0,1,child,1,47,33,108.8
PGrad,Married,63342.0,48,918,21,118,13,10,21,child,1,60,1101,108.7
Grad,Single,45989.0,97,138,33,87,28,24,12,child,1,57,322,108.5
Grad,Single,18701.0,95,12,4,2,10,6,10,child,2,57,44,101.0
PGrad,Single,40737.0,24,11,0,4,0,0,2,child,3,64,17,94.76666666666667
Grad,Single,15287.0,60,1,2,8,4,3,13,child,1,42,31,108.9
PGrad,Single,69674.0,46,554,41,215,11,0,24,child,2,53,845,101.43333333333334
PGrad,Married,44159.0,85,167,2,62,24,13,7,child,1,51,275,88.4
PGrad,Married,37717.0,31,9,0,6,4,1,5,child,1,43,25,107.43333333333334
PGrad,Married,43776.0,9,177,2,71,3,2,20,child,2,69,275,105.03333333333333
PGrad,Married,38179.0,30,38,4,22,4,2,20,child,2,55,90,103.73333333333333
Grad,Married,80124.0,47,483,84,398,205,84,241,no child,0,58,1495,88.1
PGrad,Married,38097.0,70,77,2,35,0,1,69,child,2,51,184,108.73333333333333
Grad,Married,72940.0,13,182,74,298,162,149,116,no child,0,51,981,100.5
Grad,Married,22070.0,11,10,7,19,8,2,21,child,1,51,67,96.93333333333334
Grad,Single,69267.0,31,778,44,499,95,73,146,no child,0,68,1635,109.5
PGrad,Single,31788.0,15,16,7,23,0,8,6,child,1,38,60,91.36666666666666
PGrad,Married,61905.0,2,167,0,43,6,2,13,child,1,46,231,92.83333333333333
Grad,Married,29315.0,55,13,2,14,8,7,4,child,2,61,48,90.8
Grad,Single,33378.0,38,33,6,40,3,7,10,child,2,58,99,104.93333333333334
PGrad,Married,66313.0,86,625,7,99,10,22,7,child,1,58,770,97.53333333333333
Grad,Single,60714.0,56,216,162,224,101,92,162,no child,0,65,957,105.6
PGrad,Married,77882.0,29,68,129,396,188,22,15,no child,0,40,818,90.0
PGrad,Single,69867.0,30,196,0,512,33,130,54,no child,0,35,925,103.1
PGrad,Single,63841.0,64,635,15,100,20,7,131,child,1,53,908,102.46666666666667
UGrad,Married,24480.0,46,4,19,9,28,25,17,child,1,40,102,104.76666666666667
Grad,Married,51369.0,84,297,7,79,0,11,182,child,1,45,576,108.4
Grad,Married,37760.0,20,84,5,38,150,12,28,no child,0,75,317,110.23333333333333
PGrad,Married,65640.0,74,204,7,149,20,15,66,child,1,47,461,92.0
PGrad,Married,44319.0,18,26,0,8,0,0,3,child,2,46,37,90.43333333333334
Grad,Married,30631.0,75,15,6,20,4,5,20,child,1,47,70,99.73333333333333
Grad,Married,75278.0,17,304,98,230,150,74,74,no child,0,69,930,105.2
PGrad,Married,50898.0,88,285,28,242,55,114,135,child,2,65,859,105.9
Grad,Single,79946.0,19,395,183,565,166,141,28,no child,0,55,1478,89.6
PGrad,Single,35416.0,62,248,3,81,4,3,51,no child,0,72,390,100.7
UGrad,Married,32414.0,11,20,6,5,0,9,12,no child,0,37,52,100.0
Grad,Married,38361.0,74,39,0,56,20,8,14,child,1,52,137,94.13333333333334
Grad,Married,82497.0,32,777,129,573,216,21,203,no child,0,41,1919,108.2
Grad,Married,16626.0,76,8,3,22,21,1,13,child,2,50,68,93.5
Grad,Married,29672.0,6,9,1,3,0,4,8,child,2,56,25,103.8
PGrad,Married,55951.0,62,1241,0,80,0,13,40,child,1,69,1374,110.5
UGrad,Single,35388.0,20,6,4,7,4,3,8,child,1,33,32,103.96666666666667
PGrad,Married,42386.0,43,65,4,16,0,4,11,child,1,35,100,105.73333333333333
Grad,Single,68627.0,45,395,15,263,60,54,38,no child,0,39,825,105.76666666666667
PGrad,Single,57912.0,34,801,0,80,0,0,35,child,1,56,916,91.46666666666667
Grad,Single,35246.0,53,36,0,12,2,2,10,child,2,63,62,90.46666666666667
UGrad,Married,58821.0,44,513,14,154,19,0,28,child,1,65,728,96.66666666666667
PGrad,Married,46377.0,89,37,0,46,4,3,0,child,1,43,90,92.0
Grad,Single,39747.0,43,80,15,93,20,13,52,child,1,33,273,90.56666666666666
Grad,Married,23976.0,68,14,1,21,2,3,25,child,1,37,66,94.13333333333334
PGrad,Married,80950.0,44,525,147,112,219,147,63,no child,0,60,1213,103.26666666666667
Grad,Single,27038.0,64,1,26,25,17,23,15,no child,0,55,107,109.63333333333334
Grad,Single,77457.0,85,675,11,400,15,45,11,no child,0,74,1157,91.86666666666666
PGrad,Married,64100.0,93,509,0,27,0,0,10,child,1,57,546,97.73333333333333
PGrad,Married,42670.0,12,154,2,46,20,4,15,no child,0,29,241,102.26666666666667
Grad,Single,12571.0,86,3,5,14,2,12,17,child,1,45,53,93.4
Grad,Married,22574.0,28,25,0,8,2,0,2,child,3,54,37,96.13333333333334
PGrad,Single,70893.0,42,768,44,561,77,44,14,no child,0,45,1508,104.93333333333334
Grad,Married,54198.0,13,185,0,28,3,2,17,child,2,55,235,94.46666666666667
PGrad,Married,28839.0,86,24,0,7,0,0,1,child,2,65,32,91.66666666666667
Grad,Married,40321.0,59,44,4,21,6,0,27,child,2,49,102,99.16666666666667
Grad,Single,66503.0,30,91,64,128,65,3,50,child,1,36,401,110.8
Grad,Married,30833.0,33,11,0,7,3,1,6,child,2,70,28,99.6
Grad,Married,64795.0,23,412,5,119,38,29,77,child,1,50,680,105.6
Grad,Married,34421.0,81,3,3,7,6,2,9,child,1,47,30,100.1
PGrad,Single,47025.0,6,16,0,3,0,0,1,child,2,56,20,92.66666666666667
PGrad,Single,64325.0,41,731,60,353,78,12,73,child,1,60,1307,104.9
Grad,Single,40464.0,78,424,17,118,7,23,41,child,1,68,630,105.8
Grad,Married,62187.0,49,792,0,275,45,45,126,no child,0,64,1283,99.96666666666667
PGrad,Single,14849.0,39,21,2,28,3,2,9,child,1,45,65,100.06666666666666
Grad,Married,27255.0,3,22,1,11,0,1,2,child,1,37,37,95.8
PGrad,Married,54432.0,37,33,0,5,0,0,0,child,3,71,38,101.86666666666666
PGrad,Single,29999.0,22,68,7,59,10,5,11,child,1,35,160,104.7
Grad,Single,24072.0,79,9,1,6,3,0,4,child,1,38,23,102.63333333333334
PGrad,Single,33996.0,46,40,2,15,8,0,6,no child,0,32,71,97.7
PGrad,Married,66334.0,82,909,11,218,0,0,23,child,1,65,1161,103.06666666666666
PGrad,Married,35178.0,10,23,1,13,2,2,18,child,1,50,59,105.83333333333333
Grad,Married,22010.0,51,11,2,9,3,0,8,child,1,38,33,100.13333333333334
Grad,Single,62204.0,38,317,46,247,151,46,139,child,2,61,946,109.83333333333333
Grad,Single,75693.0,10,797,153,293,72,97,30,no child,0,53,1442,107.0
Grad,Married,30675.0,14,10,2,16,11,2,21,child,1,49,62,107.8
Grad,Married,83003.0,18,856,61,570,40,25,122,no child,0,56,1674,104.1
Grad,Single,68655.0,95,456,19,832,75,118,38,no child,0,33,1538,110.93333333333334
Grad,Single,41411.0,11,37,32,38,11,3,18,no child,0,35,139,94.8
PGrad,Married,55212.0,65,1103,0,45,0,0,34,child,1,52,1182,107.43333333333334
PGrad,Married,59292.0,71,378,14,68,19,14,14,child,1,71,507,100.7
UGrad,Married,27190.0,13,1,6,7,0,1,3,child,1,48,18,98.6
Grad,Single,82623.0,58,204,34,204,172,153,173,no child,0,69,940,95.7
Grad,Married,44300.0,65,30,0,9,0,0,3,child,2,56,42,100.36666666666666
Grad,Single,84835.0,0,189,104,379,111,189,218,no child,0,51,1190,88.43333333333334
Grad,Single,30372.0,33,15,0,12,7,3,7,child,2,50,44,106.36666666666666
PGrad,Married,33181.0,90,9,0,3,0,0,4,child,1,45,16,93.9
Grad,Married,71113.0,95,495,33,255,11,33,8,child,1,64,835,94.46666666666667
Grad,Married,71952.0,93,656,80,455,52,107,93,child,1,35,1443,105.83333333333333
