,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
67,FDZ03,13.65,Regular,0.07598506039219782,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,10.380486090667658
68,DRH37,17.6,Low Fat,0.040854719744779125,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,13.204529360859986
69,NCI17,8.645,Low Fat,0.13402608287012394,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,12.656404969905537
70,FDJ58,15.6,Regular,0.10011323754215559,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,15.089140328552975
71,FDL12,15.85,Regular,0.11469516285828994,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,8.43067019321057
72,FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,16.63666449570239
73,FDG02,7.855,Low Fat,0.01126121582235754,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,13.171352011602652
74,NCZ18,7.825,Low Fat,0.17088739183660226,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,17.737693618789955
75,FDC29,8.39,Regular,0.023917347271811027,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,13.181578220688536
76,FDQ10,12.85,Low Fat,0.03269060757874065,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,10.64748895665987
77,FDN48,13.35,Low Fat,0.10770607228787907,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,8.631911368528641
78,FDL04,19.0,Low Fat,0.10666052657733595,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,11.666593287520332
79,FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,17.440718484554072
80,FDD58,7.76,Low Fat,0.05765762793407711,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,11.929657916058828
81,FDN04,11.8,Regular,0.013988756513245102,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,11.259597275341815
82,FDV45,16.75,Low Fat,0.04423786004314532,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,16.74342505737966
83,NCL18,18.85,Low Fat,0.1859385302933787,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,8.355054728083648
84,FDR12,12.6,Regular,0.03089969313665779,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,14.568404810042601
85,FDG20,15.5,Regular,0.11902569434726512,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,13.534778548263764
86,FDZ55,6.055,Low Fat,0.025086581803576872,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,13.95301254294702
87,FDQ49,20.2,Regular,0.03831422260715343,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,14.866554111324735
88,FDN33,6.305,Regular,0.11610675503828966,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,8.714518410494552
89,FDN27,20.85,Low Fat,0.03885911509227405,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,11.50623581150123
90,FDW20,20.75,Low Fat,0.03962562443487355,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,7.175942079474435
91,DRG27,8.895,Low Fat,0.10009336846026025,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.838410782883955
92,DRI25,19.6,Low Fat,0.033405950719146385,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,11.137489235361985
93,FDA44,19.7,Low Fat,0.05184516148088979,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,8.53856981792641
94,NCR17,9.8,Low Fat,0.024086288325154106,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,10.841646468589321
95,FDU04,7.93,Low Fat,0.00966771171221991,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,7.869581255870297
96,FDF41,12.15,Low Fat,0.12344145169382116,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,10.719433631992008
97,FDB56,8.75,Regular,0.07196068051514705,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,15.543218956553165
98,NCP18,12.15,Low Fat,0.0280623053785703,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,16.341179829383762
99,FDB56,8.75,Regular,0.07197381166670724,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,10.953770724472413
100,FDT28,13.3,Low Fat,0.06174877466096682,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,12.177117369166506
101,FDD10,20.6,Regular,0.04478006684699987,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,14.186203620542113
102,FDW57,8.31,Regular,0.10962291939463414,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,15.735578097471405
103,DRB48,16.75,Regular,0.024529483187933035,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,8.74074079043733
104,FDP09,19.75,Low Fat,0.033461767017917025,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.714378083616406
105,FDH14,17.1,Regular,0.045708850365647764,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,13.09931974013578
106,FDA47,10.5,Regular,0.11026748855016705,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,12.15162018959164
107,FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,13.627427707572245
108,DRE60,9.395,Low Fat,0.1859385302933787,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,8.789847106153072
109,DRK49,14.15,Low Fat,0.03528394056904558,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,9.330420292715187
110,FDD03,13.3,Low Fat,0.0767816417116805,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,8.875190764926856
111,FDS52,8.89,Low Fat,0.005490381235106269,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,13.98031792089547
112,FDW39,6.69,Regular,0.0626229457189295,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,5.608713051959165
113,FDX34,6.195,Low Fat,0.06918732711256406,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,16.00173574919161
114,FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,14.661914461303498
115,FDD17,7.5,Low Fat,0.03215511627811024,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,18.112733833076717
116,FDZ16,16.85,Regular,0.14907500952156252,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,16.919684589686227
117,FDZ46,7.485,Low Fat,0.0668271346376862,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,13.647713750743888
118,DRA12,11.6,Low Fat,0.04035228902589871,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,13.666751562695582
119,FDY58,11.65,Low Fat,0.03929878029827013,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,10.452077912228903
120,NCF19,13.0,Low Fat,0.0346983121111013,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,8.795588353445911
121,DRJ13,12.65,Low Fat,0.06111188849450756,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,12.77717163154183
122,FDB14,20.25,Regular,0.15865945514890628,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,5.7126016465911995
123,FDJ38,8.6,Regular,0.03941101427564328,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,14.480032762458558
124,FDW11,12.6,Low Fat,0.04789263198408685,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,9.534946450859845
125,FDL40,17.7,Low Fat,0.01154407007684854,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,9.542264140954584
126,DRI49,14.15,Low Fat,0.16848231387347923,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,10.43783800643235
127,FDV38,19.25,Low Fat,0.09744382832021249,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,9.754436552040676
128,DRG23,8.88,Low Fat,0.08315385104419072,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,9.135165627142706
129,NCP30,20.5,Low Fat,0.032307590761346705,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,8.908873026110363
130,FDY25,12.0,Low Fat,0.03325092262916631,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,19.97354368526866
131,NCH54,13.5,Low Fat,0.07015004703433267,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,11.28753683722153
132,NCR53,12.15,Low Fat,0.13482673468163803,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,19.107655164499285
133,FDS52,8.89,Low Fat,0.009121488448281019,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,4.660105973631824
134,FDG02,7.855,Low Fat,0.011243591261012036,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,9.837693237228565
135,NCO26,7.235,Low Fat,0.07404533904945282,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,12.534701230159119
136,FDH35,18.25,Low Fat,0.058228224277531396,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,17.393897538531483
137,FDB51,6.92,Low Fat,0.03780823723251729,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,10.953770724472413
138,FDX44,9.3,Low Fat,0.04230209638887412,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,8.1195746660981
139,NCN07,18.5,Low Fat,0.0552610541576009,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,6.412287591427571
140,NCC31,8.02,Low Fat,0.019671937384076146,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,11.192679101780033
141,NCX54,9.195,Low Fat,0.04720005967070493,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,11.920293973501522
142,NCO55,12.8,Low Fat,0.0872980363155856,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,12.894362859595002
143,NCC30,16.6,Low Fat,0.02724746909017505,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,13.884277376273223
144,FDI16,14.0,Regular,0.0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,9.674478557808136
145,FDP16,18.6,Low Fat,0.03860123958837736,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,19.460939561781224
146,FDB11,16.0,Low Fat,0.05905777047514209,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,18.470252851004204
147,NCB06,17.6,Low Fat,0.07910365705733194,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,11.691000457588785
148,FDA45,21.25,Low Fat,0.14440358716838061,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,8.089163989165659
149,NCO26,7.235,Low Fat,0.07403184318455687,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,12.534701230159119
150,DRJ25,14.6,Low Fat,0.14099525544488437,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,10.114201503610257
151,FDR28,13.85,Regular,0.025669672672649125,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.15162018959164
152,FDI04,13.65,Regular,0.07065364217688042,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.04136811856133
153,DRK12,9.5,Low Fat,0.040838136149978325,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,9.65070824443799
154,FDX20,7.365,Low Fat,0.041679468704166535,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,14.688707448643875
155,NCI18,18.35,Low Fat,0.013982937469280017,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,15.311975473355709
156,FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.401474269744035
157,FDN13,18.6,Low Fat,0.14229645300525479,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,12.40770462907982
158,DRD24,13.85,Low Fat,0.030499402456879827,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,11.939007181575146
159,FDQ28,14.0,Regular,0.05862429402352926,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,13.520225011719113
160,FDM22,14.0,Regular,0.04106790028295461,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,11.001652644255635
161,FDR07,21.35,Low Fat,0.07452050155176781,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,12.184596254088786
162,FDV25,5.905,Low Fat,0.044818679683299084,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,14.911604550673559
163,DRF49,7.27,Low Fat,0.0686655609933823,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,13.78338580284252
164,FDW51,6.155,Regular,0.09044369492472701,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,14.043619059305014
165,DRL01,19.5,Regular,0.07474454763940462,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,17.516993995437772
166,FDP25,15.2,Low Fat,0.02110322918596279,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,14.15968729027356
167,FDL50,12.15,Regular,0.04160771200341354,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,12.03477045030407
168,NCB30,14.6,Low Fat,0.025256868977546323,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,17.71084825525746
169,FDW11,12.6,Low Fat,0.047819026100802305,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.523322339380085
170,NCM43,14.5,Low Fat,0.019284540171042624,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,12.847473853275567
171,FDK44,16.6,Low Fat,0.11593141312761583,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,15.636359960747779
172,FDM15,11.8,Regular,0.055788283918259206,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,11.079939418489111
173,FDS31,13.1,Regular,0.043208517627228715,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,15.833560560604807
174,FDI32,17.7,Low Fat,0.1859385302933787,Fruits and Vegetables,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,7.017305481252049
175,FDR47,17.85,Low Fat,0.0,Breads,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,8.3645815946355
176,FDB35,12.3,Regular,0.06274005330087562,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,10.035488573794042
177,NCU05,11.8,Low Fat,0.09377483904439857,Health and Hygiene,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,5.441513599873668
178,DRY23,9.395,Regular,0.17480476217973778,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,3.492806996176024
179,FDO24,11.1,Low Fat,0.16260600545655357,Baking Goods,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,14.439698200428033
180,FDQ28,14.0,Regular,0.058395731213663225,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,18.195561450336072
181,FDV39,11.3,Low Fat,0.007268174709874774,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,9.962234220804163
182,NCO17,10.0,Low Fat,0.12087023158158137,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,6.211770909287274
183,FDU50,5.75,Regular,0.0724208016817178,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,11.117773651558823
184,FDT12,6.215,Regular,0.04820085341709844,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,16.79787175421197
185,FDK58,11.35,Regular,0.044175529291499496,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,10.039893968817207
186,FDO08,11.1,Regular,0.08998123343036811,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,8.696948769265742
187,NCW29,14.0,Low Fat,0.02849788238348551,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,9.201173448305415
188,FDE04,19.75,Regular,0.017898483211005504,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,13.270388452142416
189,NCB19,6.525,Low Fat,0.08657770246642604,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,13.070803418569065
190,FDV15,10.3,Low Fat,0.13662634631057924,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,11.844847053672073
191,FDL58,5.78,Regular,0.07163610732581911,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,16.804947522426296
192,FDA08,11.85,Regular,0.048967982644504124,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,14.61946393823097
193,FDT43,16.35,Low Fat,0.02042170425593933,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.760570245407922
